Listado de productos,,,,,,Impreso,,,,
,,,,,,18/06/2026 3.33 PM,,,,
B. CALIENTES,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
9805,,TURIA,Tax Standard,"2,40 €","2,40 €",,"2,40 €",,,
9811,,WOLL DAMM,Tax Standard,"2,40 €","2,40 €",,"2,40 €",,,
COMBINADOS,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
9506,,COPA COÑAC,Tax Standard,"1,90 €","1,90 €",,"1,90 €",,,
9507,,COPA LICOR,Tax Standard,"1,90 €","1,90 €",,"1,90 €",,,
9508,,COPA WHISKY,Tax Standard,"1,90 €","1,90 €",,"1,90 €",,,
9501,,CUBATA,Tax Standard,"6,70 €","6,70 €",,"6,70 €",,,
9502,,CUBATA RED BULL,Tax Standard,"6,90 €","6,90 €",,"6,90 €",,,
9503,,LICOR HIELO,Tax Standard,"4,20 €","4,20 €",,"4,20 €",,,
9505,,WHISKY ESPECIAL,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
9504,,WHISKY HIELO,Tax Standard,"4,50 €","4,50 €",,"4,50 €",,,
FRANKFURTS,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
7730,,CERVELA,Tax Standard,"4,80 €","4,80 €",,"4,80 €",,,
7729,,FRANFURT BEICON QUESO ,Tax Standard,"5,20 €","5,20 €",,"5,20 €",,,
7725,,FRANKFURT,Tax Standard,"4,90 €","4,90 €",,"4,90 €",,,
7727,,FRANKFURT CARAMELIZADO,Tax Standard,"4,90 €","4,90 €",,"4,90 €",,,
7726,,FRANKFURT CEBOLLA,Tax Standard,"4,60 €","4,60 €",,"4,60 €",,,
7731,,PIKANTWURT,Tax Standard,"4,70 €","4,70 €",,"4,70 €",,,
,rpt:products,,,,,,,2,/,5
Listado de productos,,,,,,Impreso,,,,
,,,,,,18/06/2026 3.33 PM,,,,
HAMBURGUESAS,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
7701,,HAMBURGUESA No1,Tax Standard,"4,50 €","4,50 €",,"4,50 €",,,
7710,,HAMBURGUESA No10,Tax Standard,"10,50 €","10,50 €",,"10,50 €",,,
7711,,HAMBURGUESA No11,Tax Standard,"11,50 €","11,50 €",,"11,50 €",,,
7715,,HAMBURGUESA No15,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7716,,HAMBURGUESA No16,Tax Standard,"9,50 €","9,50 €",,"9,50 €",,,
7717,,HAMBURGUESA No17,Tax Standard,"6,00 €","6,00 €",,"6,00 €",,,
7718,,HAMBURGUESA No18,Tax Standard,"6,90 €","6,90 €",,"6,90 €",,,
7719,,HAMBURGUESA No19,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7702,,HAMBURGUESA No2,Tax Standard,"4,50 €","4,50 €",,"4,50 €",,,
7720,,HAMBURGUESA No20,Tax Standard,"4,80 €","4,80 €",,"4,80 €",,,
7721,,HAMBURGUESA No21,Tax Standard,"6,40 €","6,40 €",,"6,40 €",,,
7722,,HAMBURGUESA No22,Tax Standard,"7,70 €","7,70 €",,"7,70 €",,,
7723,,HAMBURGUESA No23,Tax Standard,"10,00 €","10,00 €",,"10,00 €",,,
7703,,HAMBURGUESA No3,Tax Standard,"4,90 €","4,90 €",,"4,90 €",,,
7704,,HAMBURGUESA No4,Tax Standard,"5,60 €","5,60 €",,"5,60 €",,,
7705,,HAMBURGUESA No5,Tax Standard,"5,20 €","5,20 €",,"5,20 €",,,
7706,,HAMBURGUESA No6,Tax Standard,"5,80 €","5,80 €",,"5,80 €",,,
7707,,HAMBURGUESA No7,Tax Standard,"7,00 €","7,00 €",,"7,00 €",,,
7708,,HAMBURGUESA No8,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7709,,HAMBURGUESA No9,Tax Standard,"5,80 €","5,80 €",,"5,80 €",,,
R. CALIENTES,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
7792,,ALBONDIGAS A LA CERVEZA,Tax Standard,"8,90 €","8,90 €",,"8,90 €",,,
7787,,ALITAS POLLO,Tax Standard,"8,70 €","8,70 €",,"8,70 €",,,
7798,,ALMEJAS,Tax Standard,"8,50 €","8,50 €",,"8,50 €",,,
77117,,ARROZ A LA CUBANA,Tax Standard,"7,50 €","7,50 €",,"7,50 €",,,
7780,,BOMBAS,Tax Standard,"5,50 €","5,50 €",,"5,50 €",,,
77102,,BOQUERON REBOZADO,Tax Standard,"7,90 €","7,90 €",,"7,90 €",,,
77129,,BUTIFARRA MOCHETAS,Tax Standard,"9,00 €","9,00 €",,"9,00 €",,,
7786,,BUÑUELOS,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7782,,CALAMARES A LA ROMANA,Tax Standard,"7,90 €","7,90 €",,"7,90 €",,,
77100,,CALLOS,Tax Standard,"9,50 €","9,50 €",,"9,50 €",,,
77103,,CARACOLES SALSA,Tax Standard,"8,50 €","8,50 €",,"8,50 €",,,
7793,,CARNE EN SALSA,Tax Standard,"8,90 €","8,90 €",,"8,90 €",,,
77111,,CAZON EN ADOBO,Tax Standard,"6,80 €","6,80 €",,"6,80 €",,,
77107,,CHAMPIÑONES PLANCHA,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7783,,CHOCOS,Tax Standard,"7,50 €","7,50 €",,"7,50 €",,,
7799,,CHORICITOS PICANTES,Tax Standard,"8,00 €","8,00 €",,"8,00 €",,,
77104,,CHULETON 350G,Tax Standard,"16,50 €","16,50 €",,"16,50 €",,,
77118,,CHURRASCO,Tax Standard,"14,00 €","14,00 €",,"14,00 €",,,
77116,,CODILLO,Tax Standard,"10,90 €","10,90 €",,"10,90 €",,,
7785,,CROQUETAS,Tax Standard,"9,00 €","9,00 €",,"9,00 €",,,
,rpt:products,,,,,,,3,/,5
Listado de productos,,,,,,Impreso,,,,
,,,,,,18/06/2026 3.33 PM,,,,
7794,,FRITURA,Tax Standard,"9,50 €","9,50 €",,"9,50 €",,,
7772,,GALTAS,Tax Standard,"10,50 €","10,50 €",,"10,50 €",,,
77119,,HUEVOS AL PLATO,Tax Standard,"8,90 €","8,90 €",,"8,90 €",,,
7797,,JAMON CANARIO,Tax Standard,"8,00 €","8,00 €",,"8,00 €",,,
77108,,JAMON PICANTE,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7790,,MEJILLONES,Tax Standard,"8,50 €","8,50 €",,"8,50 €",,,
77110,,MONTADITOS DE LOMO,Tax Standard,"5,50 €","5,50 €",,"5,50 €",,,
77105,,MORROS FRITOS,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7788,,NUGGETS,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
77112,,OREJA A LA GALLEGA,Tax Standard,"6,50 €","6,50 €",,"6,50 €",,,
7784,,PATATAS,Tax Standard,"5,50 €","5,50 €",,"5,50 €",,,
7795,,PIES DE CERDO,Tax Standard,"10,90 €","10,90 €",,"10,90 €",,,
7781,,PINCHOS,Tax Standard,"9,50 €","9,50 €",,"9,50 €",,,
77106,,PROVOLONE,Tax Standard,"6,00 €","6,00 €",,"6,00 €",,,
7796,,PULPO BRASA,Tax Standard,"15,00 €","15,00 €",,"15,00 €",,,
77114,,SEPIA PLANCHA,Tax Standard,"14,00 €","14,00 €",,"14,00 €",,,
77113,,SOLOMILLO TERNERA,Tax Standard,"15,00 €","15,00 €",,"15,00 €",,,
7789,,TALLARINAS,Tax Standard,"10,00 €","10,00 €",,"10,00 €",,,
77115,,TEMPURA,Tax Standard,"7,00 €","7,00 €",,"7,00 €",,,
7791,,TORREZNOS DE SORIA,Tax Standard,"8,90 €","8,90 €",,"8,90 €",,,
R. FRIAS,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
7767,,BOQUERONES VINAGRE,Tax Standard,"6,00 €","6,00 €",,"6,00 €",,,
7771,,ENSALADA MIXTA,Tax Standard,"4,50 €","4,50 €",,"4,50 €",,,
7766,,ENSALADILLA RUSA,Tax Standard,"6,80 €","6,80 €",,"6,80 €",,,
7770,,LANGOSTINOS COCIDOS,Tax Standard,"6,90 €","6,90 €",,"6,90 €",,,
7768,,"R,JAMON",Tax Standard,"7,50 €","7,50 €",,"7,50 €",,,
7769,,R.ANCHOAS,Tax Standard,"8,00 €","8,00 €",,"8,00 €",,,
7765,,R.QUESO,Tax Standard,"7,50 €","7,50 €",,"7,50 €",,,
REFRESCOS,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
9620,,ACUARIUS,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9607,,AGUA,Tax Standard,"1,30 €","1,30 €",,"1,30 €",,,
9613,,BITTER KAS,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9619,,CACAOLAT,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9601,,COCA COLA,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9603,,COCA ZERO,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9627,,COPA VINO BLANCO,Tax Standard,"2,90 €","2,90 €",,"2,90 €",,,
9628,,COPA VINO RESERVA,Tax Standard,"3,00 €","3,00 €",,"3,00 €",,,
9626,,COPA VINO TINTO,Tax Standard,"2,90 €","2,90 €",,"2,90 €",,,
9604,,FANTA LIMON,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9605,,FANTA NARANJA,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9629,,FAUSTINO,Tax Standard,"2,50 €","2,50 €",,"2,50 €",,,
,rpt:products,,,,,,,4,/,5
Listado de productos,,,,,,Impreso,,,,
,,,,,,18/06/2026 3.33 PM,,,,
9625,,GAZPACHO,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9612,,GINGER ALE,Tax Standard,"1,90 €","1,90 €",,"1,90 €",,,
9609,,HORCHATA,Tax Standard,"1,90 €","1,90 €",,"1,90 €",,,
9611,,NESTEA,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9614,,RED BULL,Tax Standard,"2,40 €","2,40 €",,"2,40 €",,,
9606,,REFRESCO ,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9631,,TINTO VERANO,Tax Standard,"2,40 €","2,40 €",,"2,40 €",,,
9615,,TONICA,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9608,,TRINA,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9630,,VERMUTH CASERO,Tax Standard,"3,80 €","3,80 €",,"3,80 €",,,
9610,,VICHY,Tax Standard,"2,40 €","2,40 €",,"2,40 €",,,
9618,,ZUMO MELOCOTON,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
9617,,ZUMO NARANJA,Tax Standard,"1,70 €","1,70 €",,"1,70 €",,,
9616,,ZUMO PIÑA,Tax Standard,"2,30 €","2,30 €",,"2,30 €",,,
SANDWICH,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
77126,,BIKINI,Tax Standard,"4,00 €","4,00 €",,"4,00 €",,,
77127,,BIKINI DE LA CASA,Tax Standard,"6,20 €","6,20 €",,"6,20 €",,,
77128,,MALLORQUIN,Tax Standard,"4,50 €","4,50 €",,"4,50 €",,,
VARIOS,,,,,,,,,,
,Ref.,Nombre,Impuesto,Coste,Precio,,Precio + IVA,,,
9705,,BERBERECHOS,Tax Standard,"10,00 €","10,00 €",,"10,00 €",,,
9716,,BOLSA ,Tax Standard,"0,10 €","0,10 €",,"0,10 €",,,
9701,,CHIPS,Tax Standard,"1,70 €","1,70 €",,"1,70 €",,,
9707,,OLIVAS,Tax Standard,"2,50 €","2,50 €",,"2,50 €",,,
9710,,PAN TOMATE,Tax Standard,"1,50 €","1,50 €",,"1,50 €",,,
9712,,SANGRIA VINO,Tax Standard,"9,50 €","9,50 €",,"9,50 €",,,
9711,,SUPLEMENTO,Tax Standard,"1,00 €","1,00 €",,"1,00 €",,,
,rpt:products,,,,,,,5,/,5
